"","SMILE","Activity"
"V59","CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)C(COC)C(=O)N",4
"V61","CC(C(=O)N(C)C)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC",4
"V62","CC(C(=O)N)NCC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC",4
"V63","COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCC(C4)C(=O)N",4
"V64","CN(C)CC(C(=O)N)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC",4
"V65","COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)CN4CCCC4C(=O)N",4
"V66","CN(C)C(=O)C1CCCN1CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC",4
"V67","CC(C(=O)N)N(CCOC)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC",4
"V68","CC(C)N1CCC(CC1)(C(=O)N)N(C)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC",4
"V69","CNC(=O)C1CCCN1CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC",4
"V70","CC(C)(C1=CC2=C(C=C1)NC3=C(C=CC(=C3)C4=CC(=C(C=C4)N)OC)C(=O)N2)C(=O)NC5=CC=C(C=C5)N6CCOCC6",4
"V71","COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=O)NC4=C(N3)C=CC(=C4)CC(=O)NC5=CC=C(C=C5)N6CCOCC6)N",4.698970004
"V73","CC(C)N1CC(C1)(C(=O)N)N(C)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC",4
"V74","COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCCC4",4
"V76","CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC=C(C=C3)C(=O)NCC4CC4",4.301029996
"V77","CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)N3CCOCC3)C4=CC5=C(C=C4)C(=NO5)C6CCNCC6",4.301029996
"V78","CC1=C(C=C(C=C1)NC(=O)C2=CC(=NC=C2)N3CCCC3)C4=CC5=C(C=C4)C(=NO5)C6CCNCC6",4.301029996
"V79","CC1=C(C=C(C=C1)NC(=O)C2=CC(=NC=C2)N3CCCC3)C4=C(C=C(C=C4)C5=NN=C(O5)C)C",4.301029996
"V80","CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC4=C(C=C3)C(=NO4)C5CCNCC5",4.301029996
"V81","CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=C(C=C(C=C3)C4=NN=C(O4)C)C",4.301029996
"V82","CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)N3CCOCC3)C4=C(C=C(C=C4)C5=NN=C(O5)C)C",3.77815125
"V83","CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl",3.602059991
"V84","C1=CC=C2C(=C1)C=C(S2)C3=C4C(=CC(=C3)C5=CN(C6=CN=C(N=C65)N)CCN)C=NN4",3.86085236
"V85","COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F",1.698970004
"V86","CC1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C",3.299999496
"V87","CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C",2.600003087
"V88","C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CS5)C6=CC(=CC=C6)NC(=O)CC7=CC=CC=C7",1.700011062
"V89","CN1CCN(CC1)C2=CC(=C(C=C2)OC)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C",4
"V90","C1CC1C2=CC(=NN2)NC(=O)CC3=CC4=CC=CC=C4C=C3",4
"V91","C1=CC(=CC=C1OC2=CN=CC3=C2C=C(S3)C(=O)N)Br",3.899999872
"V92","CN1CCN(CC1)C2=NC=C(C=C2)C3=CC4=C(NCCN4CC5=C(C=CC(=C5Cl)F)F)N=C3",3.400000617
"V93","COC1=CC=CC(=C1)NC2=NC=NC3=CC=CC=C32",4.099999858
"V94","COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC",3.899999872
"V95","CN1C2=NC(=NC=C2C=C(C1=O)OC3=C(C=C(C=C3)F)F)NC4CCOCC4",3.899999872
"V96","CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C",4
"V97","CC(C)(C)C(=O)OC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])CCCO",3.899999872
"V98","COC1=CC(=CC(=C1OC)OC)NC2=NC=C(C(=N2)NC3=CC=CC=C3C(=O)N)[N+](=O)[O-]",1.499961866
