"","SMILE","Activity"
"V236","C1=CC(=CC=C1C(=O)NC2=CC3=C(C=C2)NN=C3)Cl",3.899999872
"V237","C1=CC2=CN=C(C=C2C=C1C3=CSC=C3)NCCO",3.899999872
"V238","CCCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3NC(=O)C",3.899999872
"V239","CC1=C2C(=C(C=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)Br)C(=NN2)N",1.2999429
"V240","CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)OC",3.400000617
"V241","CCOC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C)N",0.599883072
"V242","C1=CC=C(C=C1)C(CO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.899999872
"V243","C1=CC(=CC=C1C2=CN=CC3=C2C=C(S3)C(=O)N)F",3.299999496
"V244","CC1=CC(=CC=C1)NC2=NC(=CN=C2C(=O)N)NC3CCCCC3N",2.600003087
"V246","COC1=C(C=C(C=C1)C=NNC2=NC=NC3=C2NC4=CC=CC=C43)OC",3.199999125
"V247","CC1=NC2=C(C(=O)O1)SC3=C(C=CC(=C23)Cl)Br",3.899999872
"V248","CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC(=CC=C4)Cl)N",3.599999814
"V249","C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C=CC4=CC=NC=C4)N",3.899999872
"V250","CC(C1=CC(=CC=C1)OC)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.650000244
"V251","C1=CC=C(C=C1)CN2C(=C(N=N2)C3=CC4=C(C=C3)NN=C4N)I",3.599999814
"V252","C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)NNC(=S)NC3=CC=C(C=C3)F)O",3.899999872
"V253","CC1=CC(=C(C=C1Cl)NC(=O)NC2=NC=C(N=C2)C#N)OC",3.899999872
"V254","C1=CSC(=C1)C=NNC(=O)C2=C(N(N=N2)C3=NON=C3N)C4=CC=CS4",3.899999872
"V255","C1C2=C(C=C(C=C2C3=CC=C(C=C3)NC4=NC5=CC=CC=C5O4)OCCCN)C(=O)N1",3.899999872
"V256","CC(=O)NCCNC(=O)C1=CC2=C(C=C1)NC3=C(C=CC(=C3)C4=CC(=C(C=C4)O)OC)C(=O)N2",3.799999763
"V257","C1=C(C2=C(N1CC(C(CN)O)O)N=CN=C2N)I",3.899999872
"V258","C1=CC2=C(C=CN=C2C(=C1)F)NC(=O)NC3=NC=CN=C3",3.199999125
"V259","C1=CC(=C(C=C1CNC2=C(C(=O)C2=O)NC3=CC=NC=C3)Cl)Cl",3.899999872
"V260","C1=NC2=C(C(=N1)N)SC3=NC=NC(=C23)N",3.100001583
"V261","CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3)C4=CC=C(C=C4)F)CN(C)C",3.899999872
"V262","C1=CC2=C(C=C1C3=CN=C4C(=C3)C=CN4)NN=C2",2.400002346
"V263","C1=CC(=CC(=C1)Br)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N",0.599883072
"V264","COC1=CC=CC(=C1)C(CN)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.899999872
"V265","CCC1=C(NC2=NC=CN=C12)C3=CC=C(C=C3)C(C)(C)O",3.299999496
"V266","C1=CC2=NC=CC(=C2C=C1C(F)(F)F)NC(=O)NC3=NC=CN=C3",3.799999763
"V267","CC(C)(CC1=NN=C2N1N=C(C=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F)O",3.899999872
"V270","C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.899999872
"V271","COC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)CCO)N",0.499687083
"V272","CCCC(=O)NC1=NNC2=C1C=C(C=C2)C3=CN(N=N3)CC4=CC=CC=C4",3.899999872
"V273","C1=CC=C2C(=C1)NC3=NN=C(C=C3C(=O)N2)I",3.299999496
"V274","CNC(=O)C1=CC2=C(NN=C2S1)C3=CC=CC=C3F",2.600003087
"V275","CN1CCC(CC1)C(=O)N2C3=C(C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5)C(=N2)N",3.899999872
"V276","CC1=C(C=C(C=C1)NC2=NC=C(C(=N2)NC3=CC=C(C=C3)OCC(=O)NC)F)S(=O)(=O)N",1.899984563
"V277","CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCCC(C)(C)O)C4=C(C=C(C=C4)F)F",3.899999872
"V278","CS(=O)(=O)N(CC1=CC2=C(C=C1)NC(=O)C3=CC=CN32)C4CC4",3.699999798
"V279","C1C2=C(C=CC=C2C(=O)N1)C3=CC=C(C=C3)NC4=NC5=CC=CC=C5N4",3.899999872
"V280","CC1=C(C=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=C(C=C3)OC)ON=C4N)F",2
"V281","COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=NC=CC(=C3)C(F)(F)F",2.500003068
"V282","C1=CC(=CC(=C1)C(F)(F)F)CNC2=C(C(=O)C2=O)NC3=CC=NC=C3",3.899999872
"V283","CN1C=C(C2=CC=CC=C21)C(CN)C3=CN=CC(=C3)C=CC4=CC=NC=C4",3.899999872
"V285","C1=CC2=C(C=C1NC3=C(C(=O)C3=O)NCC4=C(C=C(C=C4)Cl)Cl)C=NN2",3.899999872
"V286","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CC(C)(C)N)N",1
"V287","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCN(C)C)N",0.802832356
"V289","CCCC(=O)NC1=NNC2=NN=C(C=C21)C3=C(C(=CC=C3)F)F",3.899999872
"V290","C1=CC2=C(C=CN=C2C(=C1)C(F)(F)F)NC(=O)NC3=CC=CC(=N3)C(F)(F)F",3.899999872
"V291","CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N",3.899999872
"V292","C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC=NC4=CC=CC=C43",3.899999872
"V295","C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)CCO)N",0.149814465
"V296","CC1=C2C(=NC3=CC(=C(C=C3C(=N2)C4=CC=CC=C4Cl)F)OC)NN1",0.907179615
"V298","C1=CC(=CC=C1CNC2=C(C(=O)C2=O)NC3=CC=NC=C3)Cl",3.899999872
"V299","C1=CC2=C(C=CN=C2C(=C1)Cl)NC(=O)NC3=CC=CC(=N3)C(F)(F)F",3.899999872
"V302","CC1=CC2=NN=C(N2C3=CC=CC=C13)SCC4=CN5C=CC=CC5=N4",3.899999872
"V303","C1=CC(=CC(=C1)Cl)CC(=O)NC2=CC=C(C=C2)C3=C(SC4=NC=NC(=C34)N)Br",2.800001828
"V304","CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)C(C5=CC=CC=C5)OC",2
"V305","C1=CC(=C(C=C1Cl)F)C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N",3.899999872
"V306","CNC1=NC=NC2=C1N=C(CCN2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F",1.899984563
"V308","C1=CC=C2C(=C1)C(=CC=N2)NC(=O)NC3=NC=CN=C3",3.500000321
"V309","CCN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CC=C5)C6=CC(=CC=C6)C(=O)NC7=CC=CC=C7F",1.200029267
"V310","C1=CC(=C(C=C1CNC(=O)NC2=CC3=C(C=C2)NN=C3)Cl)Cl",3.899999872
"V311","C1=CC=C(C=C1)C(CCO)NC2=NC3=C(S2)C=C(C=C3)C4=CC=NC=C4",3.899999872
"V312","CC1=CC=CC=C1NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N",3.199999125
"V314","C1=CC=C(C(=C1)CNC2=C(C(=O)C2=O)NC3=CC=NC=C3)F",3.899999872
"V315","CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3CCN)C4=CC=C(C=C4)F)CO",3.899999872
"V317","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCN5CCOCC5)N",0.499687083
"V318","CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C)N",0.616106484
"V319","COC1=C(C=C2C(=C1)C=NC3=C2C(=O)NC3=O)OC",3.299999496
"V320","CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)COC)C4=CC=C(C=C4)F",3.899999872
"V321","C1=CC(=CC(=C1)Cl)C2=CN3C(=C(C=NC3=O)I)N2",3.899999872
"V322","COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F",2.099991234
"V323","C1=CC(=CC=C1C2=CNC3=NC=CC(=C23)Cl)C(=O)N",2.600003087
"V325","C1CC1CN2C3=C(C=CC(=C3)C4=C(N=C5N4C=CS5)C6=CC=C(C=C6)F)N=C2N",3.100001583
"V327","C1=CC=C(C=C1)C2=CNC3=NC=C(C=C23)C4=CC(=CC=C4)C(=O)N",2.300008203
"V329","CCC(CC)(C#CC1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C)N)N",1.499961866
"V330","CC(=O)NCC(=O)N1C2CCC1C3=C2C=CC(=C3)NC4=NC=C(C(=N4)NC5CCC5)C(F)(F)F",1.200029267
"V331","CCN(CC)C(=O)NC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4",3.899999872
"V332","CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6",2.600003087
"V333","C1=CC=C(C=C1)CNC2=NC3=C(S2)C=C(C=C3)C4=CC=NC=C4",3.899999872
"V336","CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)C=CC4=CC=CC=C4",1.499961866
"V337","COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=NC(=CC=C3)Br",1.400019635
"V338","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CN=CC(=C3)C=CC4=CC=NC=C4)N",3.699999798
"V339","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=COC4=NC=NC(=C34)N",0.699837726
"V340","COC1=CC(=CC(=C1OC)OC)C2=CC3=C(C=C2)NC4=C(C=CC(=C4)C5=CC=CC=C5NS(=O)(=O)C)C(=O)N3",3.699999798
"V341","CC1=CC(=C2C(=C1)N=C(O2)NC3=CC=C(C=C3)C4=NN(C5=C4C(=NC=N5)N)C6CCC(CC6)OCCOC)C",0.899820502
"V342","C1=CC(=C(C=C1C2=C(C=NN2)C3=NC=NC=C3)Cl)Cl",3.899999872
"V343","CC1=C(C=CC(=C1)NC(=O)CC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N)F",1.2999429
"V346","CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)C3=COC4=NC=NC(=C34)N",2.500003068
"V347","CC(C1=CC(=CC=C1)OC)NC(=O)C2=CN=C(S2)C3=CC=NC=C3",3.899999872
"V348","CC(C)OC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)O)C4=C(C=C(C=C4)F)F",3.899999872
"V349","COC1=CC(=CC(=C1OC)OC)NC2=NC=CC(=N2)NC3=CC(=NO3)C4CCCCC4",1.800029359
"V350","CSC1=CC2=C(C=C1)N=C3C(=C2Cl)CCNC3=O",3.899999872
"V351","C1=CC(=CC(=C1)Cl)NC2=C(C(=C3C=CC(=O)C=C3)NN2)C4=CC=C(C=C4)O",3.899999872
"V352","C1=CC=C2C(=C1)C=C(S2)C3=C4C(=CC(=C3)C5=CN(C6=CN=C(N=C65)N)CC(=O)N)C=NN4",3.100001583
"V354","CCCC(=O)NC1=NNC2=C1C=C(C=C2)C3=C(C(=CC=C3)F)F",3.899999872
"V356","C1=CC=C(C=C1)NC2=C3C(=CSC3=NC=N2)Cl",3.899999872
"V357","CC(C(C)(C)C)NC1=C(C(=O)C1=O)NC2=CC=NC=C2",3.899999872
"V358","CCN1C(=C(SC1=O)C2=NC(=NC=C2)NC3=CC(=CC=C3)OC)C",3
"V359","CN(C)C(=O)NC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4",3.899999872
"V360","C1=CC=C(C=C1)CN2C(=C(N=N2)C3=CC4=C(C=C3)NN=C4N)C5=CC=C(C=C5)F",3.899999872
"V361","C1CCC2=C(C1)C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=NC=CC=N5",3.899999872
"V362","C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=CC=C(C=C3)C4=NC5=C(C=CC=C5N4)C(=O)N",3.899999872
"V363","CC(=O)N1CCC(CC1)NC2=NC=CC(=N2)C3=C(N=C4N3C=CO4)C5=CC=C(C=C5)F",3.899999872
"V365","CC1=CSC(=N1)NC(=O)C2=C(C3=C(S2)N=C(C=C3)C4=CC=NC=C4)N",3.899999872
"V366","C1CC(CCC1NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4)O",2.400002346
"V367","CN(CCOC)C(=O)C1=C(N=NN1CC2=CC=CC=C2)C3=CC4=C(C=C3)NN=C4",3.899999872
"V369","COC1=CC=CC(=C1)CNC(=O)C2=CC3=C(NN=C3S2)C4=CC=CC=C4",2.800001828
"V370","C1=CC(=CC(=C1)S(=O)(=O)N)NC2=NC=C(C(=N2)NC3=CC=C(C=C3)OCC#N)Br",1.700011062
"V373","CCCCNC1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)CCNCCO",3.899999872
"V375","C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC5=C(C=C4)NC(=O)O5)N",3.899999872
"V377","CC1=CC=CC=C1C2=C(N(C3=CC=CC=C32)CCCOC4=CC=CC5=CC=CC=C54)C(=O)O",3.899999872
"V378","C1=CC=C(C(=C1)C(F)(F)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N",3
"V380","CC1=NC=C(C=C1)C2=CN=C(C3=C2SC=C3C4=CC=C(C=C4)NC(=O)NC5=CC(=CC=C5)F)N",0.699837726
"V381","CC1=NN=C(O1)C2=CC3=C(S2)C=NC=C3OC4=CC=C(C=C4)C(F)(F)F",3.899999872
"V382","C1=CC=C(C=C1)N2C=CC3=CN=C(N=C32)NC4=CC(=CC=C4)S(=O)(=O)N",1.200029267
"V383","CC1=C(C=CC(=C1)Cl)NC(=S)NNC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O",3.899999872
"V384","C1=CC=C2C(=C1)NC(=N2)C=CC3=CN=C(C4=C3SC=C4C5=CC=C(C=C5)N)N",1.700011062
"V385","CN1C=C(C=N1)C2=CN=C(C3=C2SC=C3C4=CC=C(C=C4)NC(=O)NC5=CC=C(C=C5)OC(F)F)N",0.899820502
"V386","CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4",0.599883072
"V387","COC1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3SC4=C(C=NC=C42)Cl",3.400000617
"V388","C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N",3.899999872
"V389","CC(=O)NC1=CC=CC(=C1)CNC2=C(C(=O)C2=O)NC3=CC4=C(C=C3)NN=C4",3.899999872
"V391","CC1=CN=C(N=C1NC2=CC=C(C=C2)OCC(=O)N)NC3=CC(=CC=C3)S(=O)(=O)N",2
"V392","CC(C)OC1=C(C(=O)NN1)C=C2C=NC3=CC=CC=C32",2.700002397
"V393","CC1=C(N=NN1CC2=CC=CC=C2)C3=CC4=C(C=C3)NN=C4N",3.899999872
"V394","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)CC(C)O)N",0.899820502
"V395","C1=COC(=C1)C=C2C(=O)N3C(=C(C(C(=C3S2)C(=O)N)C4=CC=CO4)C#N)N",3.899999872
"V397","C1=CC=C(C=C1)C(CN)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.799999835
"V398","CC(C1=CC=CC=C1)NC2=NC=CC(=N2)C3=C(N=C4N3C=CO4)C5=CC=C(C=C5)F",3.899999872
"V399","C1=CC(=C2C(=C1)NC(=N2)C3=CC=NC=C3)C(=O)N",3.899999872
"V400","CN1C(=O)C(=C(N=C1NCC(CC2=CC=CC=C2)N)C3=CC=NC=C3)C4=CC5=CC=CC=C5C=C4",3.599999814
"V401","CC1=CC=CC=C1C2=CC=CC3=C2NC(=C3CCCOC4=CC(=CC(=C4C)C)C)C(=O)O",3.899999872
"V402","CC1=CC(=C2C(=C1)N=C(O2)NC3=C(C=C(C=C3)C4=C(C(=CC=C4)C(=O)N)N)F)C",2
"V403","CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C",1.10002573
"V404","C1CC1CNC2=NC=CC(=N2)C3=C(N=C4N3C=CN=C4)C5=CC=C(C=C5)F",3.899999872
"V405","C1=CC(=CN=C1)C2=CC3=CC(=NC=C3C=C2)NCCO",3.899999872
"V406","CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC(=C(C=C4)Cl)Cl)N",3.899999872
"V407","COC1=C(C=C(C=C1)C(=O)NC2=NNC3=C2C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5)OC",2.600003087
"V408","C1CCN(C1)CC2CC(C2)C3=NC(=C4N3C=CN=C4N)C5=CC(=CC=C5)OCC6=CC=CC=C6",3.899999872
"V409","CC(C1=CC(=CC=C1)OC)NC(=O)C2=C(C=C(C=C2)C3=C(C=NC=C3)F)OC",3.899999872
"V410","CC1=CC(=C(C=C1Cl)NC(=O)NC2=NC=C(N=C2)C#N)OCC3CCC(C3)C(=O)O",3.699999798
"V411","CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3)C4=CC=C(C=C4)F)CO",3.899999872
"V412","C1=CC(=C(C(=C1)F)C(=O)NC2=NC(=CC(=C2)C3=CNC4=C3C=CC=N4)Cl)F",3.400000617
"V413","C1CC(=O)N(C1)C2=CC(=CC=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CS5)C6=CC(=CC=C6)NC(=O)CC7=CC=CC=C7",1.2999429
"V414","C1CC(CCC1NC2=CC(=NC(=N2)C3=CNC4=C3C=CC=N4)Cl)O",3.100001583
"V415","CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)CO)C4=C(C=C(C=C4)F)F",3.500000321
"V416","CN(C)CC(=O)NC(CC1=CNC2=CC=CC=C21)COC3=CN=CC(=C3)C4=CC5=C(C=C4)C=NC=C5",3.699999798
"V417","CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3CC4CC4)C5=CC=C(C=C5)F)CO",3.899999872
"V420","CC1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C=NSC4=CC=C3)C",2.500003068
"V422","C1=CC2=C(C=C1Cl)C3=C(O2)C(=O)N=CN3",3.899999872
"V423","CCCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N",3.400000617
"V425","COC1=CC=C(C=C1)CNC2=C(C(=O)C2=O)NC3=CC4=C(C=C3)NN=C4",3.899999872
"V426","C1=CC=C(C=C1)C2=CNC3=NC=C(C=C23)Br",3
"V427","CCN1CCN(CC1)CCCC(=O)NC2=NNC3=NN=C(C=C32)C4=C(C(=CC=C4)F)F",3.899999872
"V428","C1=CC=C(C=C1)C2=CNC3=C2C(=NC=N3)NC(CO)CO",3.199999125
"V429","CC1=CN=C(C=C1)NC2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-]",2.400002346
"V430","CNC(=O)C=CC1=CN=C(C2=C1SC=C2C3=CC4=C(C=C3)OCO4)N",1.499961866
"V431","C1=CC=C(C=C1)C(=O)NC2=NC(=CC(=C2)C3=CNC4=C3C=CC=N4)Cl",3.400000617
"V432","C1=CC=C(C=C1)CN2C=CC3=CN=C(N=C32)NC4=CC(=CC=C4)S(=O)(=O)N",1.800029359
"V433","CC(COC1=CN=C(C(=C1)C=CC2=CC=NC=C2)Cl)N",3.899999872
"V434","C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C=CC4=CC=NC=C4)O",3.899999872
"V435","CNS(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=CC(=C(C(=C3)OC)OC)OC",1.200029267
"V436","C1=CC(=C2C(=C1)NN=C2N)C3=CC=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(=O)O)F",3
"V437","C1=CC=C(C=C1)COCC(COC2=CN=CC(=C2)C=CC3=CC=NC=C3)N",3.899999872
"V438","CCCN1C=C(C=N1)C2=CN=C(C3=C2SC=C3C4=CC=C(C=C4)NC(=O)NC5=CC(=CC=C5)F)N",0.847578479
"V439","CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3CC4CC4)C5=C(C=C(C=C5)F)F)O",3.899999872
"V441","COC1=CC(=CC(=C2NC3=CC=CC=C3N2)C#N)C(=CC1=O)Br",3.299999496
"V442","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCNS(=O)(=O)C)N",0.899820502
"V444","CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N",3.400000617
"V445","C1=CC2=C(C=CN=C2C(=C1)C(F)(F)F)NC(=O)NC3=NC=CN=C3",3.899999872
"V447","C1CC2=C(C3=C1C=C(C=C3)NC(=O)NC4=CC=CC=C4)C5=C(N=CN=C5S2)N",2.700002397
"V448","C1=CC(=CC=C1OC2=CN=CC3=C2C=C(S3)C4=NN=C(O4)N)Cl",3.899999872
"V449","C1=CC(=CC=C1C2=CSC3=C2C(=NC=C3C=CC(=O)NCCCN4C=CN=C4)N)Br",1.10002573
"V451","COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=O)NC4=C(N3)C=CC(=C4)[N+](=O)[O-])O",3.899999872
"V452","C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4NC(=O)C5=C(C=CC(=C5)F)F",3.400000617
"V453","C1CCC(C(C1)N)NC2=NC=CC(=N2)C3=CNC4=C3C=CC=N4",3.899999872
"V454","CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3OC)C4=C(C=C(C=C4)F)F)CO",3.899999872
"V455","CC1=CC=C(C=C1)C2=CC3=C(C=CC(=C3N2)C(=O)N)NCCN",3.100001583
"V456","C1=CC=C(C=C1)C2=CSC(=N2)N3C4=C(C=CC(=C4)C#N)N=C3N",1.10002573
"V457","CN(C)C(=O)C1=C(N=NN1CC2=CC=CC=C2)C3=CC4=C(C=C3)NN=C4",3.899999872
"V458","CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O",3.100001583
"V459","CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)O)C4=C(C=C(C=C4)F)F",3.599999814
"V460","CC(C)(CO)C1=NN=C2N1N=C(C=C2)C3=C(N=C4N3CCC4)C5=C(C=C(C=C5)F)F",3.799999763
"V461","CCN(CC)CCCNC(=O)C1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)F)N",0.100370545
"V462","C1CC(CCC1N2C3=C(C(=NC=N3)N)C(=N2)I)O",3.199999125
"V463","CCCCOC1=NC=NC2=C1C(=CN2)C3=CC=CC=C3",2.900000965
"V464","C1CCC(=C2CCC3=C(C4=CC=CC=C4N=C23)C(=O)O)C1",3.899999872
"V465","C1=CC(=CC=C1CC(CO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3)Cl",3.899999872
"V466","C1=CC=C(C=C1)C2=CNC3=NC=C(C=C23)NC(=O)C4=C(C=CC=C4F)F",3.400000617
"V468","CN(C)C1=C(C=C2C=NSC2=C1)NC(=O)C(=O)O",3.899999872
"V469","C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C=CC4=CC=CC=C4",2.500003068
"V470","C1CC(CN(C1)C(=O)C2=NOC(=C2)C3=CC4=C(C=C3)NN=C4)O",3.899999872
"V471","CC1=C(SC(=C1)C(=O)NC(C)C2=CC(=CC=C2)OC)C3=CC4=C(NN=C4C=C3)C",3.899999872
"V472","CCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N",3.899999872
"V473","CN1CCN(CC1)C2CCC(CC2)N3C=C(C4=C3N=CN=C4N)C5=CC=C(C=C5)OC6=CC=CC=C6",1.499961866
"V475","CC1=CC2=C(N1)C=CC(=C2)C3=CSC4=C3C(=NC=C4C5=CC(=CC=C5)S(=O)(=O)C)N",0.800029359
"V476","C1CCC(CC1)NC2=CC(=NC(=N2)C3=CNC4=C3C=CC=N4)Cl",3.299999496
"V477","COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=CC=CC=C4C(=O)N)OC",1.899984563
"V478","C1=CC(=C(C=C1C(CCN)C(=O)NC2=CC3=C(C=C2)NN=C3)Cl)Cl",3.100001583
"V479","CC1=C2C=C(N=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC(=CC=C4)C(F)(F)F)N",3.899999872
"V480","C1=CC(=CN=C1)NC(=O)NCCCCCCNC(=O)NC2=CN=CC=C2",3.899999872
"V482","CCCC(=O)NC1=NC(=CC(=C1)C2=CNC3=C2C=CC=N3)Cl",3.400000617
"V483","C1=CC=C(C=C1)CC(CO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.899999872
"V485","C1=CC(=C2C(=C1Cl)C(=C(S2)C(=O)N)N)Br",3.199999125
"V486","C1CCN(CC1)C2=NC=NC3=C2C(=CN3)C4=CC=CC=C4",3.400000617
"V487","CCOC(=O)C1=C2N(C(=C(C1C3=CC=CO3)C#N)N)C(=O)C(=CC4=CC=CO4)S2",3.899999872
"V488","C1=CC=C(C=C1)OC2=CC=C(C=C2)CCNC3=C(C(=O)C3=O)NC4=CC=NC=C4",2.900000965
"V489","CCN(CC)CCCNC(=O)C1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C)N",-0.199970641
"V490","CC(C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.799999763
"V491","CC1=NN(C(=C1)C2=CC=CC=C2)C3=CC(=NC=N3)NN=CC4=CC=CO4",3.599999814
"V492","CC1=CC2=C(C=C1)NC3=CC=CC=C3C(=O)N2",3.899999872
"V493","C1=CC2=C(C=CN=C2C=C1C(F)(F)F)NC(=O)NC3=NC=C(C=C3)C#N",3.899999872
"V494","C1=CC2=NSN=C2C(=C1)NC(=O)NNC=C3C=CC(=O)C=C3O",3.100001583
